time,open,high,low,close,tick_volume,spread,real_volume
2024-09-03 16:30:00+00:00,414.19,415.18,412.95,413.81,1238,1,288653
2024-09-03 17:00:00+00:00,413.75,413.77,411.36,411.59,601,1,99510
2024-09-03 17:30:00+00:00,411.88,412.13,411.38,411.88,374,1,54627
2024-09-03 18:00:00+00:00,411.92,412.54,411.63,412.24,344,1,102809
2024-09-03 18:30:00+00:00,412.26,412.34,411.79,411.92,159,1,29631
2024-09-03 19:00:00+00:00,411.96,412.39,411.68,412.03,163,1,29362
2024-09-03 19:30:00+00:00,411.93,412.11,411.35,411.42,159,1,29060
2024-09-03 20:00:00+00:00,411.43,412.25,411.4,412.03,138,1,24901
2024-09-03 20:30:00+00:00,412.0,412.01,411.36,411.38,264,1,33842
2024-09-03 21:00:00+00:00,411.36,411.36,410.66,410.78,388,1,52227
2024-09-03 21:30:00+00:00,410.78,411.09,410.12,410.24,258,1,40026
2024-09-03 22:00:00+00:00,410.34,410.59,410.17,410.48,205,1,37557
2024-09-03 22:30:00+00:00,410.59,410.75,408.62,410.27,1277,1,216678
2024-09-04 16:30:00+00:00,409.89,411.6,409.64,411.31,681,1,106566
2024-09-04 17:00:00+00:00,411.22,411.65,410.07,411.44,556,1,87975
2024-09-04 17:30:00+00:00,411.51,412.24,411.09,412.19,306,1,57311
2024-09-04 18:00:00+00:00,412.28,412.54,410.93,410.93,267,1,52785
2024-09-04 18:30:00+00:00,410.84,411.17,410.49,410.79,175,1,25780
2024-09-04 19:00:00+00:00,410.69,410.8,410.09,410.54,209,1,26698
2024-09-04 19:30:00+00:00,410.52,411.09,410.08,410.29,170,1,24764
2024-09-04 20:00:00+00:00,410.3,410.33,409.54,409.59,144,1,28177
2024-09-04 20:30:00+00:00,409.59,409.84,409.23,409.48,181,1,42143
2024-09-04 21:00:00+00:00,409.5,410.17,409.37,410.07,212,1,37594
2024-09-04 21:30:00+00:00,409.95,410.34,409.51,409.52,142,1,26114
2024-09-04 22:00:00+00:00,409.45,410.2,409.25,410.14,198,1,47470
2024-09-04 22:30:00+00:00,410.17,410.85,409.56,410.5,591,1,94033
2024-09-04 23:00:00+00:00,410.35,410.35,410.35,410.35,1,39,100
2024-09-05 16:30:00+00:00,411.39,411.65,409.12,409.55,587,1,74551
2024-09-05 17:00:00+00:00,409.66,410.82,409.61,410.12,336,1,54173
2024-09-05 17:30:00+00:00,410.32,410.63,408.62,408.8,334,1,54704
2024-09-05 18:00:00+00:00,408.85,408.97,407.17,407.3,338,1,65065
2024-09-05 18:30:00+00:00,407.19,407.5,406.63,406.74,309,1,44570
2024-09-05 19:00:00+00:00,406.62,407.06,405.98,406.95,278,1,49038
2024-09-05 19:30:00+00:00,406.89,407.84,406.71,407.69,140,1,21582
2024-09-05 20:00:00+00:00,407.59,407.7,407.03,407.19,140,1,25495
2024-09-05 20:30:00+00:00,407.18,409.01,407.16,409.01,180,1,25120
2024-09-05 21:00:00+00:00,409.08,409.24,408.69,408.77,161,1,25058
2024-09-05 21:30:00+00:00,408.77,409.56,408.77,408.89,123,1,20223
2024-09-05 22:00:00+00:00,408.83,408.92,407.69,408.2,269,1,39086
2024-09-05 22:30:00+00:00,408.21,408.92,407.65,408.47,595,1,93077
2024-09-05 23:00:00+00:00,408.46,408.46,408.46,408.46,1,5,200
2024-09-06 16:30:00+00:00,408.84,410.99,408.54,409.81,781,1,128723
2024-09-06 17:00:00+00:00,409.78,409.86,406.91,407.05,554,1,117774
2024-09-06 17:30:00+00:00,407.06,407.24,405.34,405.55,674,1,87700
2024-09-06 18:00:00+00:00,405.61,408.25,404.57,404.92,766,1,119015
2024-09-06 18:30:00+00:00,404.93,405.7,404.32,404.63,428,1,65779
2024-09-06 19:00:00+00:00,404.57,405.11,403.95,404.01,265,1,34475
2024-09-06 19:30:00+00:00,404.02,405.0,404.02,404.56,288,1,44340
2024-09-06 20:00:00+00:00,404.52,405.42,404.45,404.81,195,1,29083
2024-09-06 20:30:00+00:00,404.8,405.03,404.2,404.78,192,1,38667
2024-09-06 21:00:00+00:00,404.75,404.89,403.98,404.39,279,1,37738
2024-09-06 21:30:00+00:00,404.35,404.59,403.78,404.52,179,1,25992
2024-09-06 22:00:00+00:00,404.59,405.33,404.59,404.94,396,1,58033
2024-09-06 22:30:00+00:00,404.91,405.11,403.99,404.43,795,1,127878
2024-09-06 23:00:00+00:00,404.46,404.46,404.46,404.46,2,1,400
2024-09-09 16:30:00+00:00,407.36,407.78,406.11,407.41,1076,1,141811
2024-09-09 17:00:00+00:00,407.46,408.89,407.28,408.29,521,1,78707
2024-09-09 17:30:00+00:00,408.28,408.51,407.95,408.02,357,1,51131
2024-09-09 18:00:00+00:00,407.98,408.47,407.43,408.46,371,1,48886
2024-09-09 18:30:00+00:00,408.61,410.08,408.52,409.68,656,1,99171
2024-09-09 19:00:00+00:00,409.63,410.63,409.55,410.55,595,1,122165
2024-09-09 19:30:00+00:00,410.53,410.89,410.36,410.73,283,1,50213
2024-09-09 20:00:00+00:00,410.7,410.75,410.01,410.16,273,1,49695
2024-09-09 20:30:00+00:00,409.97,410.2,408.86,408.86,157,1,37979
2024-09-09 21:00:00+00:00,408.92,409.07,408.51,408.71,225,1,37363
2024-09-09 21:30:00+00:00,408.65,408.98,408.17,408.62,185,1,30854
2024-09-09 22:00:00+00:00,408.53,408.81,408.17,408.75,153,1,26294
2024-09-09 22:30:00+00:00,408.86,409.41,408.47,409.07,634,1,123109
2024-09-09 23:00:00+00:00,409.05,409.05,409.03,409.03,5,1,700
2024-09-10 16:30:00+00:00,410.1,410.1,408.01,408.23,495,1,74769
2024-09-10 17:00:00+00:00,408.21,408.25,406.39,407.27,483,1,78769
2024-09-10 17:30:00+00:00,407.11,407.54,406.67,407.24,207,1,30823
2024-09-10 18:00:00+00:00,407.27,408.11,407.11,407.76,115,1,21365
2024-09-10 18:30:00+00:00,407.72,407.85,405.62,405.62,178,1,43039
2024-09-10 19:00:00+00:00,405.59,405.74,404.97,405.62,369,1,63273
2024-09-10 19:30:00+00:00,405.46,406.71,405.46,406.34,113,1,21401
