time,open,high,low,close,tick_volume,spread,real_volume
2011-06-16 17:00:00+00:00,78.08,78.7,77.68,78.44,34140,0,122941210000
2011-06-16 17:30:00+00:00,78.45,78.87,77.99,78.63,16557,0,67950990000
2011-06-16 18:00:00+00:00,78.62,78.8,78.35,78.76,15548,0,52927000000
2011-06-16 18:30:00+00:00,78.77,78.84,78.59,78.65,8355,0,28312730000
2011-06-16 19:00:00+00:00,78.66,78.86,78.64,78.85,6200,0,19843720000
2011-06-16 19:30:00+00:00,78.85,78.88,78.66,78.68,4050,0,13830990000
2011-06-16 20:00:00+00:00,78.68,78.81,78.44,78.46,6490,0,21170770000
2011-06-16 20:30:00+00:00,78.46,78.47,77.8,77.82,18198,0,67273330000
2011-06-16 21:00:00+00:00,77.82,77.93,77.67,77.85,16045,0,49424950000
2011-06-16 21:30:00+00:00,77.85,77.87,77.17,77.62,17465,0,59147510000
2011-06-16 22:00:00+00:00,77.62,78.04,77.5,77.9,18835,0,65112030000
2011-06-16 22:30:00+00:00,77.9,78.28,77.85,78.24,27192,0,103013620000
2011-06-17 16:30:00+00:00,78.99,79.0,78.54,78.63,27652,0,93501160000
2011-06-17 17:00:00+00:00,78.63,79.13,78.55,78.59,26083,0,76955920000
2011-06-17 17:30:00+00:00,78.59,78.98,78.55,78.8,13895,0,38720990000
2011-06-17 18:00:00+00:00,78.8,79.01,78.6,79.0,10638,0,27922490000
2011-06-17 18:30:00+00:00,79.0,79.03,78.8,78.98,9261,0,27139750000
2011-06-17 19:00:00+00:00,78.98,79.01,78.7,78.79,6810,0,20101000000
2011-06-17 19:30:00+00:00,78.78,78.83,78.26,78.43,15145,0,52302030000
2011-06-17 20:00:00+00:00,78.43,78.46,78.08,78.31,13840,0,43890350000
2011-06-17 20:30:00+00:00,78.31,78.47,78.06,78.16,9891,0,26150130000
2011-06-17 21:00:00+00:00,78.16,78.55,78.08,78.54,11683,0,33726440000
2011-06-17 21:30:00+00:00,78.53,78.57,78.26,78.3,10795,0,31275320000
2011-06-17 22:00:00+00:00,78.31,78.37,77.83,78.09,19584,0,72363370000
2011-06-17 22:30:00+00:00,78.1,78.38,78.03,78.22,22336,0,80158270000
2011-06-20 16:30:00+00:00,77.96,78.76,77.93,78.6,18169,0,70814290000
2011-06-20 17:00:00+00:00,78.6,78.7,78.12,78.39,16155,0,41691860000
2011-06-20 17:30:00+00:00,78.4,78.73,78.39,78.55,11827,0,34777150000
2011-06-20 18:00:00+00:00,78.55,78.74,78.42,78.71,8273,0,29546150000
2011-06-20 18:30:00+00:00,78.71,79.01,78.71,78.98,9206,0,32399200000
2011-06-20 19:00:00+00:00,78.99,79.17,78.92,79.17,7763,0,29565360000
2011-06-20 19:30:00+00:00,79.17,79.23,79.04,79.06,4794,0,15127390000
2011-06-20 20:00:00+00:00,79.06,79.12,78.92,78.99,7771,0,22985580000
2011-06-20 20:30:00+00:00,78.99,79.1,78.73,78.77,6332,0,17049060000
2011-06-20 21:00:00+00:00,78.77,78.85,78.69,78.77,4986,0,14438270000
2011-06-20 21:30:00+00:00,78.77,79.01,78.76,78.9,9777,0,28702550000
2011-06-20 22:00:00+00:00,78.9,78.9,78.53,78.61,10270,0,26983860000
2011-06-20 22:30:00+00:00,78.62,78.95,78.59,78.95,19239,0,71085890000
2011-06-21 16:30:00+00:00,79.58,80.11,79.42,80.08,27183,0,109121610000
2011-06-21 17:00:00+00:00,80.08,80.39,80.05,80.27,24278,0,79733080000
2011-06-21 17:30:00+00:00,80.26,80.49,80.19,80.42,12966,0,38488520000
2011-06-21 18:00:00+00:00,80.42,80.54,80.36,80.52,14899,0,52728830000
2011-06-21 18:30:00+00:00,80.52,80.63,80.32,80.4,14779,0,50775360000
