time,open,high,low,close,tick_volume,spread,real_volume
2026-03-30 16:30:00+00:00,567.345,568.04,562.11,562.37,44949,100,4725050
2026-03-30 17:00:00+00:00,562.35,564.28,562.27,562.925,23523,100,2705619
2026-03-30 17:30:00+00:00,562.88,564.18,561.37,564.145,25414,100,2614827
2026-03-30 18:00:00+00:00,564.15,565.54,561.845,563.0,19684,100,2329048
2026-03-30 18:30:00+00:00,562.98,565.48,562.61,564.055,20073,100,2247769
2026-03-30 19:00:00+00:00,564.05,564.175,561.63,561.6625,16969,100,2063335
2026-03-30 19:30:00+00:00,561.67,562.6298,561.49,561.97,13628,100,1646861
2026-03-30 20:00:00+00:00,561.96,562.41,559.65,559.7699,22075,100,2507765
2026-03-30 20:30:00+00:00,559.77,561.14,559.12,560.1,18765,100,2056453
2026-03-30 21:00:00+00:00,560.095,560.14,558.71,558.732,14371,100,1604996
2026-03-30 21:30:00+00:00,558.75,559.69,557.77,557.92,14640,100,1652177
2026-03-30 22:00:00+00:00,557.92,558.14,555.6,555.8801,23421,100,2482255
2026-03-30 22:30:00+00:00,555.91,558.98,555.62,558.29,36790,100,3773657
2026-03-30 23:00:00+00:00,558.28,558.34,558.26,558.28,327,100,670110
2026-03-31 16:30:00+00:00,564.29,568.83,564.23,568.755,42924,100,5140602
2026-03-31 17:00:00+00:00,568.74,569.04,567.02,568.74,29803,100,3325651
2026-03-31 17:30:00+00:00,568.73,569.21,564.21,564.978,27663,100,2994124
2026-03-31 18:00:00+00:00,564.98,568.53,564.96,566.9526,23155,100,2572523
2026-03-31 18:30:00+00:00,566.95,567.62,565.76,565.86,15583,100,1577471
2026-03-31 19:00:00+00:00,565.8,568.76,565.62,568.34,15813,100,1683278
2026-03-31 19:30:00+00:00,568.34,575.71,567.9,573.7399,49350,100,5193868
2026-03-31 20:00:00+00:00,573.78,576.21,573.41,574.48,35593,100,3596874
2026-03-31 20:30:00+00:00,574.51,576.09,573.114,573.45,27269,100,2767269
2026-03-31 21:00:00+00:00,573.42,575.55,573.42,575.06,18449,100,1970328
2026-03-31 21:30:00+00:00,575.03,576.14,574.52,575.78,22462,100,2423676
2026-03-31 22:00:00+00:00,575.7701,577.07,575.24,576.44,24772,100,2938098
2026-03-31 22:30:00+00:00,576.45,578.64,576.29,577.17,49512,100,5205559
2026-03-31 23:00:00+00:00,577.11,577.29,577.04,577.29,482,100,1103110
2026-04-01 16:30:00+00:00,581.48,584.026,580.42,582.1799,40604,100,4674684
2026-04-01 17:00:00+00:00,582.18,584.36,581.97,583.83,25845,100,2908352
2026-04-01 17:30:00+00:00,583.84,585.8,582.52,585.57,28779,100,3256180
2026-04-01 18:00:00+00:00,585.57,586.205,585.295,585.31,19320,100,2122092
2026-04-01 18:30:00+00:00,585.32,587.18,584.86,586.875,17886,100,2042312
2026-04-01 19:00:00+00:00,586.88,587.26,586.44,586.665,14544,100,1606052
2026-04-01 19:30:00+00:00,586.68,587.31,586.27,587.0374,8922,100,1177187
2026-04-01 20:00:00+00:00,587.05,587.739,586.9201,587.34,10519,100,1357079
2026-04-01 20:30:00+00:00,587.3475,587.55,585.7,585.76,14330,100,1827317
2026-04-01 21:00:00+00:00,585.7501,585.95,582.7,583.025,30371,100,3705845
2026-04-01 21:30:00+00:00,583.03,584.27,582.3265,583.17,21316,100,2735407
2026-04-01 22:00:00+00:00,583.165,585.3,583.06,585.03,17048,100,2287430
2026-04-01 22:30:00+00:00,585.04,585.51,583.82,584.26,27803,100,3501715
