time,open,high,low,close,tick_volume,spread,real_volume
2024-09-03 16:30:00+00:00,560.47,560.8,558.14,559.08,9446,1,2046037
2024-09-03 17:00:00+00:00,559.12,559.12,556.32,557.19,9276,1,1920203
2024-09-03 17:30:00+00:00,557.18,557.18,555.11,555.33,7611,1,1518036
2024-09-03 18:00:00+00:00,555.35,556.78,555.15,556.38,5552,1,1141500
2024-09-03 18:30:00+00:00,556.4,556.99,555.48,555.61,4384,1,896383
2024-09-03 19:00:00+00:00,555.59,556.45,555.21,555.65,3388,1,703888
2024-09-03 19:30:00+00:00,555.65,555.71,554.75,554.9,3358,1,715831
2024-09-03 20:00:00+00:00,554.88,555.87,554.68,555.67,3560,1,705357
2024-09-03 20:30:00+00:00,555.66,555.73,554.26,554.34,3660,1,826018
2024-09-03 21:00:00+00:00,554.33,554.38,552.94,553.04,5592,1,1210090
2024-09-03 21:30:00+00:00,553.04,553.8,552.47,552.63,5497,1,1263413
2024-09-03 22:00:00+00:00,552.62,553.06,552.31,552.54,4756,1,1047816
2024-09-03 22:30:00+00:00,552.54,552.75,549.53,552.16,20906,1,4348758
2024-09-03 23:00:00+00:00,552.16,552.23,552.12,552.14,101,1,39564
2024-09-04 16:30:00+00:00,550.2,552.55,550.03,552.53,8483,1,1765014
2024-09-04 17:00:00+00:00,552.54,552.78,550.02,552.47,11891,1,2255570
2024-09-04 17:30:00+00:00,552.49,554.0,552.22,553.98,6825,1,1384418
2024-09-04 18:00:00+00:00,553.97,554.42,552.09,552.11,5606,1,1171470
2024-09-04 18:30:00+00:00,552.13,552.39,551.34,551.84,3669,1,720751
2024-09-04 19:00:00+00:00,551.81,552.41,551.07,552.12,3477,1,692180
2024-09-04 19:30:00+00:00,552.11,553.09,551.47,552.34,2745,1,557596
2024-09-04 20:00:00+00:00,552.31,552.31,551.05,551.21,2686,1,530532
2024-09-04 20:30:00+00:00,551.2,551.65,550.68,550.95,3268,1,754413
2024-09-04 21:00:00+00:00,550.98,551.5,550.58,551.35,3440,1,799285
2024-09-04 21:30:00+00:00,551.35,551.73,550.02,550.07,3758,1,777044
2024-09-04 22:00:00+00:00,550.07,550.83,549.46,550.72,4658,1,943300
2024-09-04 22:30:00+00:00,550.74,551.96,550.08,550.84,12761,1,2720248
2024-09-04 23:00:00+00:00,550.89,550.89,550.77,550.79,71,1,26198
2024-09-05 16:30:00+00:00,550.9,552.27,550.65,551.96,7836,1,1700488
2024-09-05 17:00:00+00:00,551.97,553.79,551.56,552.96,6651,1,1336159
2024-09-05 17:30:00+00:00,552.97,553.55,550.33,550.38,5540,1,1074847
2024-09-05 18:00:00+00:00,550.38,550.53,547.82,547.91,7057,1,1307248
2024-09-05 18:30:00+00:00,547.91,548.54,547.36,547.5,5615,1,1056697
2024-09-05 19:00:00+00:00,547.48,548.62,547.1,548.55,5765,1,1059501
2024-09-05 19:30:00+00:00,548.55,549.3,548.23,548.71,3567,1,657932
