time,open,high,low,close,tick_volume,spread,real_volume
2010-09-24 16:00:00+00:00,84.243,84.337,84.195,84.201,1164,16,0
2010-09-24 17:00:00+00:00,84.238,84.296,84.175,84.233,688,16,0
2010-09-24 18:00:00+00:00,84.237,84.418,84.236,84.333,477,10,0
2010-09-24 19:00:00+00:00,84.344,84.417,84.306,84.365,435,13,0
2010-09-24 20:00:00+00:00,84.353,84.409,84.353,84.36,343,19,0
2010-09-24 21:00:00+00:00,84.375,84.378,84.251,84.257,321,19,0
2010-09-24 22:00:00+00:00,84.262,84.294,84.19,84.199,290,15,0
2010-09-27 00:00:00+00:00,84.29,84.323,84.238,84.31,567,21,0
2010-09-27 01:00:00+00:00,84.308,84.384,84.306,84.321,777,18,0
2010-09-27 02:00:00+00:00,84.319,84.361,84.257,84.281,1076,18,0
2010-09-27 03:00:00+00:00,84.279,84.338,84.264,84.289,1138,19,0
2010-09-27 04:00:00+00:00,84.29,84.297,84.197,84.208,965,15,0
2010-09-27 05:00:00+00:00,84.211,84.256,84.187,84.233,494,19,0
2010-09-27 06:00:00+00:00,84.234,84.278,84.201,84.262,1023,13,0
2010-09-27 07:00:00+00:00,84.264,84.281,84.249,84.277,721,10,0
2010-09-27 08:00:00+00:00,84.28,84.285,84.185,84.248,1313,10,0
2010-09-27 09:00:00+00:00,84.249,84.258,84.117,84.153,1821,16,0
2010-09-27 10:00:00+00:00,84.156,84.253,84.133,84.194,1871,16,0
2010-09-27 11:00:00+00:00,84.196,84.251,84.181,84.214,1439,16,0
2010-09-27 12:00:00+00:00,84.212,84.237,84.192,84.218,957,10,0
2010-09-27 13:00:00+00:00,84.22,84.244,84.174,84.235,1244,16,0
2010-09-27 14:00:00+00:00,84.234,84.291,84.175,84.249,1942,16,0
2010-09-27 15:00:00+00:00,84.25,84.287,84.204,84.271,1954,16,0
2010-09-27 16:00:00+00:00,84.272,84.307,84.151,84.218,1948,16,0
2010-09-27 17:00:00+00:00,84.219,84.241,84.131,84.172,1423,16,0
2010-09-27 18:00:00+00:00,84.171,84.178,84.107,84.156,908,11,0
2010-09-27 19:00:00+00:00,84.155,84.246,84.147,84.167,785,10,0
2010-09-27 20:00:00+00:00,84.165,84.241,84.165,84.223,645,19,0
2010-09-27 21:00:00+00:00,84.222,84.239,84.185,84.212,743,15,0
2010-09-27 22:00:00+00:00,84.214,84.327,84.186,84.278,1016,19,0
2010-09-27 23:00:00+00:00,84.277,84.312,84.251,84.271,648,22,0
2010-09-28 00:00:00+00:00,84.271,84.31,84.26,84.268,497,10,0
2010-09-28 01:00:00+00:00,84.269,84.304,84.235,84.259,562,15,0
2010-09-28 02:00:00+00:00,84.26,84.337,84.258,84.315,1192,19,0
2010-09-28 03:00:00+00:00,84.313,84.318,84.172,84.216,1337,15,0
2010-09-28 04:00:00+00:00,84.217,84.227,84.176,84.22,861,19,0
2010-09-28 05:00:00+00:00,84.222,84.258,84.215,84.226,687,15,0
2010-09-28 06:00:00+00:00,84.227,84.241,84.192,84.203,594,10,0
2010-09-28 07:00:00+00:00,84.202,84.262,84.189,84.214,677,10,0
2010-09-28 08:00:00+00:00,84.216,84.224,84.158,84.189,1385,16,0
2010-09-28 09:00:00+00:00,84.192,84.23,84.148,84.205,1833,11,0
2010-09-28 10:00:00+00:00,84.204,84.247,84.197,84.235,1097,16,0
2010-09-28 11:00:00+00:00,84.228,84.266,84.12,84.148,1631,17,0
